,on_trip_count,money_spent,taxi_free_rate,average_decline_rate,waiting_customers,highest_decline_rate,no_response_call,lowest_decline_rate,total_call,averange_speed,no_response_rate,finished_count,average_waiting_time
360,361.0,8649667391.14,"(3074.0, 0.7685)",0.0,"(565, 0)",0.0,324.0,0.0,1815.0,8.31177575914,0.178512396694,565.0,3011.85082873
361,363.0,8649667509.93,"(3071.0, 0.76775)",0.0,"(566, 0)",0.0,325.0,0.0,1820.0,8.28429423886,0.178571428571,566.0,3027.6510989
362,366.0,8649667660.93,"(3067.0, 0.76675)",0.0,"(567, 0)",0.0,325.0,0.0,1825.0,8.43752904893,0.178082191781,567.0,3050.10899183
363,365.0,8649667736.42,"(3066.0, 0.7665)",0.0,"(569, 0)",0.0,327.0,0.0,1830.0,8.32908385988,0.17868852459,569.0,3048.52459016
364,369.0,8649667787.08,"(3065.0, 0.76625)",0.0,"(566, 0)",0.0,330.0,0.0,1835.0,8.26828839046,0.179836512262,570.0,3077.06756757
365,368.0,8649667872.37,"(3063.0, 0.76575)",0.0,"(569, 0)",0.0,331.0,0.0,1840.0,8.41631514406,0.179891304348,572.0,3074.63414634
366,371.0,8649667952.65,"(3059.0, 0.76475)",0.0,"(570, 0)",0.0,332.0,0.0,1845.0,8.39196338559,0.179945799458,572.0,3094.11290323
367,370.0,8649668002.36,"(3057.0, 0.76425)",0.0,"(573, 0)",0.0,334.0,0.0,1850.0,8.31446684384,0.180540540541,573.0,3088.98921833
368,372.0,8649668084.79,"(3054.0, 0.7635)",0.0,"(574, 0)",0.0,336.0,0.0,1855.0,8.21854550849,0.181132075472,573.0,3102.02412869
369,373.0,8649668128.06,"(3052.0, 0.763)",0.0,"(575, 0)",0.0,338.0,0.0,1860.0,8.28195564875,0.181720430108,574.0,3110.61497326
370,373.0,8649668183.53,"(3050.0, 0.7625)",0.0,"(577, 0)",0.0,340.0,0.0,1865.0,8.52841106368,0.182305630027,575.0,3112.86096257
371,369.0,8650107427.14,"(3050.0, 0.7625)",0.0,"(581, 0)",0.0,341.0,0.0,1870.0,8.05458608439,0.182352941176,579.0,3096.64864865
372,369.0,8650107480.81,"(3048.0, 0.762)",0.0,"(583, 0)",0.0,343.0,0.0,1875.0,8.49416244935,0.182933333333,580.0,3102.52702703
373,367.0,8650107576.52,"(3045.0, 0.76125)",0.0,"(588, 0)",0.0,343.0,0.0,1880.0,8.28219672228,0.182446808511,582.0,3093.42391304
374,368.0,8650107645.97,"(3041.0, 0.76025)",0.0,"(591, 0)",0.0,343.0,0.0,1885.0,8.10069699859,0.181962864721,583.0,3101.30081301
375,369.0,8650107790.19,"(3037.0, 0.75925)",0.0,"(594, 0)",0.0,343.0,0.0,1890.0,8.18218172258,0.181481481481,584.0,3110.39189189
